,ARF__-s_100,ARF_-m_2__-s_100,ARF_-m_3__-s_100,ARF_-m_4__-s_100,ARF_-m_5__-s_100,ARF_-m_6__-s_100,DYNSE_KNORAE_-s_100,DYNSE_KNORAU_-s_100,DYNSE_NO_SEL_-s_100,OzaBag_-s_100,ALL_BAG_INIT_KNORAE,ALL_BAG_INIT_KNORAU,ALL_BAG_INIT_NO_SEL,ALL_BAG_KNORAE,ALL_BAG_KNORAU,ALL_BAG_NO_SEL,ALL_INIT_KNORAE,ALL_INIT_KNORAU,ALL_INIT_NO_SEL,ALL_KNORAE,ALL_KNORAU,ALL_NO_SEL,_KNORAE,_KNORAU,_NO_SEL
SEAGenerator_-_Concept_2X_Gradual,89.1053413702542,88.53502812556981,89.177962191522,89.13465360885353,89.15046976780135,89.06769717597355,88.43986162057301,87.4821239864223,87.23063614535475,87.47258488538894,88.10822943866334,87.81107238122914,87.56702932564065,88.13159096667972,87.95948006422925,87.36734716174008,88.11827115952806,87.24172695564616,87.23434248668329,88.22167309323993,87.94645901065746,87.5506387858803,88.44944740504279,87.46371556271146,87.15087433773974
SEAGenerator_-_Concept_2X_Sudden,89.147564738638,88.52743166863893,89.11616933301937,89.11518290568186,89.12245299010242,89.14095812093557,88.38843378354488,87.48626833762229,87.21395642263019,87.52436834796993,88.12310904867279,87.84493156863694,87.61997764468697,88.099909935056,87.97739969180971,87.40399914992804,88.13777142495493,87.12323870216436,87.25955429701186,88.17771917685411,88.05304667930639,87.5517741877451,88.41927219236263,87.43029955952392,87.25555796137867
SEAGenerator_-_Concept_3X_Gradual,88.96306960429514,88.04287541183517,88.84908274162923,88.87942958459018,88.8812014958488,88.90448665007052,88.25365712380304,87.07988112379132,86.5192527512621,86.92949824857172,87.81228226633527,87.1503279302923,86.94618227189423,87.96787092643444,87.70306285498937,87.06908687031259,87.90554402657985,86.48727099378422,86.5251324254145,88.06456778173091,87.76079132063339,87.1585639797025,88.18272449761417,87.00861549835933,86.55087536254514
SEAGenerator_-_Concept_3X_Sudden,88.92904976776954,88.10609500908322,88.9645203564553,88.90627072545563,88.85429481213566,88.96590039591571,88.22008183802764,87.03204344806622,86.54403100522927,86.89009811709707,87.9117262627741,87.14029798312903,86.96858455072325,87.9561705946584,87.69228090334548,87.07874009596955,87.94527289028663,86.50820029780479,86.58935119569077,88.04713166260647,87.77090444928955,87.14640317064838,88.17295546851894,86.97173731795486,86.51816560049664
SEAGenerator_-_Concept_4X_Gradual,88.63828327002119,88.01788801643319,88.6072129280222,88.66805711176247,88.62306021716414,88.66312203714676,88.10449906272007,86.85637777107077,86.0855259202403,86.14986018853403,87.84554802973553,86.67118702596443,86.4338036874829,87.89342508883452,87.61934706424336,86.97888432534009,87.83737208181951,85.8968669463462,86.02612185151067,87.9639875449732,87.73951740840194,87.12509747119977,88.1529922771513,86.8593820978635,86.08689197592726
SEAGenerator_-_Concept_4X_Sudden,88.56006620240218,88.07725444685933,88.64132180918875,88.72304391582402,88.66856039149627,88.60771614960174,88.23375815248606,86.95648040434725,86.12945307453543,86.21295592099746,87.87567237130379,86.72522447544355,86.44425447135075,87.92499203144345,87.66305235103115,87.01691484388952,87.89315156492908,85.90539048602473,85.95573924439257,88.04551753323443,87.74122591494528,87.12550208865986,88.15692769107886,86.96666347078745,86.15835060816151
SEAGenerator_-_No_drift,89.28898691237166,88.7753358101895,89.32170058430191,89.31161580721744,89.35012359599511,89.21728905779568,88.52759824376491,88.1364412900958,87.92948492858658,88.02521737462962,88.39131397183404,88.37034401214422,88.06362428366937,88.29058100520096,88.21782205188224,87.67839892217403,88.28096073407387,87.68635553672497,87.76624706145252,88.38568682255541,88.34322760839146,87.84009471258865,88.54911105488222,88.16165453096762,88.05847194314768
elecNormNew.arff,78.90485894559195,61.70730593550123,70.76434938468812,78.90485894559195,78.71688712889085,78.68487958169538,76.68919259103974,76.91181517884225,78.71440704295519,76.2485408274858,77.45907178177482,79.08738078086925,76.00516532009314,75.3817818760887,76.4901659951096,75.87576240939123,77.14255477298407,77.08187719195192,77.3022886933477,78.11311124812975,79.09057270918858,79.35127846327036,76.68919259103974,76.91181517884225,78.71440704295519
nomao.arff,92.36419676911126,91.08142407778605,91.00107683486365,92.6209572151326,93.45089117871915,93.45128273097626,93.34110261015934,91.8532260407958,87.53188279351635,92.37053834041235,93.21015792500914,92.68089383784472,92.513380380671,93.40257830095949,92.97728423525133,92.5836142409037,93.04218199568331,91.9560318524416,92.11157239994348,93.7353745186701,93.41616377971881,93.20557009640349,93.34110261015934,91.8532260407958,87.53188279351635
spam_corpus.arff,75.90754464285715,70.51453869047621,68.25858630952379,71.77918154761907,73.67254464285716,74.43802083333337,75.79629464285718,75.68775297619048,61.96342261904761,75.99686011904761,77.99014104554867,77.12013716356108,76.42779244306418,76.29331651138716,76.14634834368532,74.93923783643892,74.88805059523811,74.75014880952382,74.5870238095238,75.29755952380951,75.36020833333332,74.93440476190473,75.79629464285718,75.68775297619048,61.96342261904761
